author_title;review_rating;review_text
Felix zhang;5;"Urus KTP hilang cukup surat keterangan hilang dari kepolisian dan fotokopi KK
Antrian sekitar 1 jam, proses cetak hanya sekitar 2 menit"
Bharata Dwyq;5;"Pengurusan Akta Pernikahan online melalui Taring Denpasar. Proses pencetakan diarahkan ke kantor dari informasi yang di terima melalui email. Pencetakannya Akta sepaket dengan KTP dan KK yang terbit baru.

Admin WA Taring Denpasar respon dan tanggapannya cepat dan jelas, respect dengan admin WA nya👍🏻

Suasana Dukcapil pada loket pelayanan cepat, ramah serta jelas. Tempat tunggu juga nyaman, antrian pada saat itu tidak terlalu ramai. Pahami alurnya astungkara mudah dan cepat."
Made Paramita Dewi;5;"Pelayanan yg diberikan sudah baik, dimana dalam pembuatan surat-surat yang mudah yang dikarenakan adanya sistem online. Jadi, tidak perlu bulak-balik memenuhi dokumen. Datang dan langsung jadi, bahkan ada cetak mandiri / dibawa ojek online. Petugas yg ramah dan mau membimbing ketika kesulitan.
Semoga pelayanan yang sudah baik dapat dipertahankan. Jika memungkinkan dapat ditingkatkan kembali.
Terimakasih"
putri ismi;1;memang gak cocok di gaji staf staf di dukcapil ini. KERJAAN NYA BURU BURU MAU PULANG. padahal masi jam 1 kurang. sampai salah salah cetak KTP dan KK. status dan agama di KTP tidak diganti . buru buru mau pulang jd kerja tidak beres !!!!
Adeline Matahelumual;5;Proses cepat, bisa online gak riweh lg, klo bingung tingal wa admin nya.. pelayanan ramah.. ya jauh beda sama di Sangtta lah yaa.. ini sih ter the best pokoknya..
Jeaner_ Trya;5;"Selamat siang Bpk/ibu
Saya telah mengajukan skpwni dari Ntt ke bali pada tanggal 27/04/2023 apakah data saya udah bisa di ambil bu."
075_ I Gusti Agung Ngurah Diputra Wiraguna;5;Dulu kesini untuk mengurus urusan KK, ternyata sekarang sudah ada pelayanan secara online sehingga dapat dilakukan dimana saja. Saya tidak tahu dia ASN atau tidak tapi pegawai yang memberi informasi pada saya sangat ramah
yuni suntari;5;Kerennnn.....layanan luar biasa. Benar2 melayani masyarakat. Terima kasih Dukcapil Denpasar
Bari Ishak;1;WORST WORST WORST WORST Only this word can describe about this place. Suggestion for any of you please avoid to have an affair with them. Kalau bisa tidak usah sama sekali. Kalau ada opsi lain lebih baik pilih opsi lain saja. Mereka akan membuat anda membuang waktu dan emosi dengan percuma
Hutapea Sinar Global;1;Staff Customer Service membalas pertanyaan customer tergantung mood, pengkoreksian kelengkapan dokumen pada sistem online setengah setengah tidak sekaligus, jadi pembuatan perizinan memakan waktu lama. Tidak efektif dan efisien, jadi percuma adanya sistem online atau TaringDukcapil. Tidak membantu sama sekali, alias usesless. very disappointed.
Rini Styasih;5;Pelayanan cepat, petugas yang melayani ramah dan sigap memberikan informasi terkait pemenuhan berkas2 yg dibutuhkan
Rg Model;5;Pelayanan sangat amat bagus  ..saya kasih bintang 5 Krn g susah dan sangat  ramah bapak dan ibu yg menangani 🙏..syarat2nya  di lengkapi aja pasti secepat itu urusan kelar ..g nyampe 10  menit pencetakan e-KTP,e-KTP  rusak e-KTP hilang dll selesai
Ami Nazarieti;4;"Sy ada 2 pengalaman melakukan perbaikan data keluarga disini:
1. Sewaktu sy membuat surat pindah, lalu KK & KTP baru, sy lakukan sepenuhnya ONLINE dan cepat selesai.

2. Sewaktu melakukan pencatatan orang Asing (OA) melalui online, petugas operator mulai tidak konsisten. Ketika ditemukan bahwa data OA ganda, kami coba klarifikasi di loket, kemudian diberikan formulir untuk surat pindah agar data bisa ditunggalkan. Ini kami lakukan offline dan selesai Hanya dlm 3 hari, krn menunggu respons dr 2 KOTA.

3. Ketika surat pindah ini jadi, sy ajukan melalui ONLINE, hingga 2 kali, keterangan berbeda lg. Sy sudah lengkapi surat pindah, tapi kenapa operator tidak teliti? Katanya formulir sy salah, padahal itu formulir yg sudah sesuai dgn pengajuan OA / SKTT. Lalu sy tidak tau harus kemana utk menyampaikan keluhan secara online, karena kesalahan operator, kenapa Customer yg dipersulit?!

Mohon agar operator pengajuan ONLINE, utk di training agar lebih teliti & biasakan utk Menelepon Customer.

Sy salut dgn Pak Ketut Metria yg membantu sy memperjelas data kepindahan suami sy, bahkan beliau menelepon utk menerangkan bahwa surat kami sdh selesai."
Yance Bria;5;Pelayanan di kantor DUKCAPIL Denpasar patut di apresiasi, mengurus berkas, pindahan, kartu keluarga, maupun akte nikah, semuanya sangat di mudahkan, datang ke bagian informasi dan akan dijelaskan tata caranya, jangan lupa siapkan kelengkapan dokumen/ berkas nya, karena semuanya transparan.
bambang hariyadi;5;Pelayanan berhasil online, lebih mudah dan efisien soal waktu. Ada pilihan untuk ambil atau cetak sendiri adminduk nya.
Turah Jhoni;5;Tempatnya nyaman.. sistemnya jg sudah bagus.. mari lebih disempurnakan lagi.. sehingga semakin baik lg dalam melayani masyarakat..
Tisna Titiana;5;Hari ini Saya sangat berterima kasih telah difasilitasi menyelesaikan SKTT mhs asing dari ISI Denpasar pelayanan cepat Dan tanpa biaya. Suksma.
made01 suka22;5;Kl KTP hilang,agar bisa cetak dimana kita berada meskipun beda kab/kota atau provinsi🙏
Gus Adit;5;Pelayanan sangat ramah dan cepat, semoga untuk kedepan bisa selalu meningkatkan pelayanan yang ramah dan lebih cepat lagi
Beauty Shotgun;5;Comfortable place for public service. Ruang tunggu yang nyaman dengan kursi sofa, bersih, dan sudah menggunakan digital dalam mengantri. Cuman sayang aja masyarakatnya ga mau duduk saat menunggu antrian. Parkirnya juga dirapikan oleh petugas. Keep Stay connected and good service for civilians
Sutha Wijaya;5;Pelayanan pengurusan KTP dan KK sangat baik dan mudah, tetap selalu berinovasi untuk pelayanan prima.Terimakasih
dewi kusuma;5;Pelayanan Pembuatan akte dan KTP sangat cepat dan bisa diakses di mana saja melalui aplikasi Taring Dukcapil
Drati Nalantha;4;Awal ke sini untuk cetak akte yang hilang/rusak. Saya diminta membuat pengajuan via online di sistem dukcapil Denpasar. Cuma kendalanya diminta mencari surat keabsahan akta kelahiran jadi saya ke sini lagi. Singkat cerita, saya ke sini untuk mencari surat keabsahan akta kelahiran saya dengan membawa fotokopi ijazah dari sd hingga ijazah terakhir saat ini. Lalu saya disuru menunggu nanti akan dihubungi kembali. Mungkin sekitar 2 mingguan. Sedangkan sekarang sudah 3 mingguan dari pengajuan saya. Jadi saya ke sini untuk ke sekian kalinya dengan maksud menanyakan pengajuan saya takut ada dokumen yg kurang. Alhasil, kata petugas prosesnya pengabsahan ini sangat lama sehingga diminta sabar menunggu. Di sisi lain saya perlu cepat untuk pengajuan suatu hal yg mewajibkan saya upload akta kelahiran asli :(
sernya wayan;5;"Tegur sapa petugas ramah
Pelayanan cepat dan tepat
Lanjutkan yang sudah baik dipertahankan"
DoItMySelf Sudi;5;Pelayanan prima, antrean onlinenya bisa dimanfaatkan dalam pengurusan administrasi kependudukan, mantap ..
Yuni Wijayanti;5;Pelayanannya sangat membantu.. mudah di pakai
Sonny Asa Agung Gultom;5;Luar biasa untuk pelayanan bagian informasi (C), saya dibantu oleh ibu Puspita. Sungguh sangat efektif dan ramah pelayanannya. Jempol buat tim kependudukan Denpasar!!!!
Mamat 2011;5;"Untuk pembuatan domisili ktp luar bali apakah bisa di bantu untuk cetak langsung di tempat tidak pak.
Kalau lewat online lama sampai 5 hari belum ada konfirmasi verivikasinya"
Anandhito Fennady;3;"Memang seperti Mall. Tapi, harus ""sabar"" kalau disini"
made yanti;5;membuat KK baru menjadi lebih cepat dan mudah karena ada pelayanan online 🙏
James Chou;5;"We came to get our SKTT done. Maya Puspita was not only professional but went beyond all expectations to assists us in navigating the whole process. She was not only knowledgeable and professional but very thoughtfully helpful. Her organisation is very fortunate to have staff such as herself.

(Diterjemahkan oleh Google)
Kami datang untuk menyelesaikan SKTT kami. Maya Puspita tidak hanya profesional tetapi melampaui semua harapan untuk membantu kami menavigasi seluruh proses. Dia tidak hanya berpengetahuan luas dan profesional tetapi juga sangat membantu. Organisasinya sangat beruntung memiliki staf seperti dirinya."
made yanti;5;membuat KK baru menjadi lebih cepat dan mudah karena ada pelayanan online 🙏
Gls Mzk;5;Pengalaman yang sangat berkesan selama kunjungan di Dispendukcapil Kota Denpasar dan terimakasih kami diterima dengan sangat baik oleh Bapak Kadis beserta jajaran. 🙏
Vina Wiliana;5;Sangat bagus dan cepat proses pengurusan KK baru. Sebelum nya diberi info terlebih dahulu bagaimana alur dan berkas-berkas apa yang perlu disediakan. Kemudian diajarkan juga cara upload di website Taring Dukcapil. Setelah berhasil upload, terus mendapat email bahwa KK sudah terbit. Selanjutnya tinggal datang ke Dukcapil dan dicetak KK baru dan juga KTP Elektronik yg baru. Informasi sangat jelas, pelayanan sangat bagus.
Sri Ayu Sutrisna;5;Layanan kependudukan online...dan memang ok, ngak pake antre nggak pake ribet.
NI NYOMAN PADMAWATI;5;Pengalaman saya dalam hal ini yaitu petugas yang membantu saya sangat ramah dan baik
Novila Dewi;1;Pelayanan buruk, petugas jutek banget parahh. Telpon ke call centre, jawabannya tidak ramah dan selesai ngomong langsung tutup telepon tanpa basa basi.
